Year	ID_mesh	SPRCLASSE	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture
2014	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2015	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2016	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2017	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2018	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2019	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2020	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2021	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2022	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
2012	16	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	5.1084	0	0	0	0
2013	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2014	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2015	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2016	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2017	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2018	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2019	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2020	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2021	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2022	16	Aquidauana	0	0	0	0	0	0	0	0	0	5.1084	0	0	0	0
2012	17	Aquidauana	NA	NA	NA	NA	NA	NA	0.0225	0	0	5.3532	0	0	0	0
2013	17	Aquidauana	0.0225	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2014	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2015	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2016	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2017	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2018	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2019	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2020	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2021	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2022	17	Aquidauana	0	0	0	0	0	0	0	0	0	5.3757	0	0	0	0
2012	18	Aquidauana	NA	NA	NA	NA	NA	NA	0.0504	0	0	8.5059	0	0	0	0
